Terrain,MechTilt_deg,ElecTilt_deg,MeanTput_PF_Mbps,StdTput_PF,MeanTput_RR_Mbps,StdTput_RR,Coverage_km
Urban,4,4,13.785,14.7877483072982,4.044,9.45141923259169,1.11025431894851
Urban,4,4.5,15.819,17.5219611182245,2.871,7.13106412186877,1.1175356229181
Urban,4,5,16.329,15.9363108680031,1.635,2.32146703264842,1.124864679359
Urban,4,5.5,14.1225,14.9831787058906,3.4755,7.54539238035169,1.13224180144292
Urban,4,6,11.7075,12.7268690239611,2.5215,4.78082642181352,1.13966730439543
Urban,4,6.5,14.5245,14.4021491540361,2.3085,4.49727698225293,1.14714150550943
Urban,4,7,16.635,15.9786752024218,4.9155,9.98437157588329,1.15466472415871
Urban,4,7.5,13.2795,15.1860810750624,1.611,2.18294151856375,1.16223728181157
Urban,4,8,15.2715,15.741345216807,3.8805,8.52069103801482,1.16985950204457
Urban,4,8.5,18.312,16.9484717570039,2.553,6.05627234310657,1.17753171055638
Urban,4,9,16.7025,16.2422793668442,2.859,6.17062197109854,1.18525423518166
Urban,4,9.5,17.0445,16.5367689342784,2.3805,5.85052607524681,1.19302740590509
Urban,4,10,12.135,14.1504930684988,2.3445,4.15459632976121,1.20085155487547
Urban,4,10.5,16.722,16.511697801429,3.5445,8.48178764669768,1.20872701641989
Urban,4,11,16.323,14.7801057685868,4.8735,10.1358670707301,1.21665412705807
Urban,4,11.5,13.872,15.0042924470544,2.7165,6.40643133889688,1.22463322551667
Urban,4,12,14.937,15.7633424534939,3.162,6.08555130566472,1.23266465274381
Urban,4.5,0,14.424,15.0900012171866,3.126,7.2854691135219,1.06059637909951
Urban,4.5,0.5,15.7725,16.6880305464848,4.464,9.55226781493082,1.06755201484304
Urban,4.5,1,16.965,15.86437335153,3.21,8.28759522985272,1.07455326725049
Urban,4.5,1.5,14.8035,14.9545476412047,2.7915,8.01143890423727,1.08160043548649
Urban,4.5,2,13.8285,14.7337665858436,3.5985,8.15645701707724,1.08869382067763
Urban,4.5,2.5,14.97,14.0996417670515,2.109,3.72646615441493,1.09583372592536
Urban,4.5,3,17.9535,15.1931736567876,2.6775,6.09472892451053,1.10302045631895
Urban,4.5,3.5,14.376,15.6128683188855,3.756,9.72861673998259,1.11025431894851
Urban,4.5,4,15.918,14.511158654987,4.5375,9.9787826570342,1.1175356229181
Urban,4.5,4.5,13.053,12.3755608407235,2.8125,6.65718932004019,1.124864679359
Urban,4.5,5,19.863,17.1547349029892,3.9315,8.93489320482526,1.13224180144292
Urban,4.5,5.5,16.5105,15.7009075277156,2.7405,6.57468259884158,1.13966730439543
Urban,4.5,6,17.853,16.293353189668,3.9975,9.83136283294749,1.14714150550943
Urban,4.5,6.5,14.619,14.3562860085463,2.541,5.43041265767649,1.15466472415871
Urban,4.5,7,17.9775,16.2524537001497,1.704,3.37280677036264,1.16223728181157
Urban,4.5,7.5,14.9415,14.4619386190942,2.184,3.37483468982904,1.16985950204457
Urban,4.5,8,19.3485,15.6950754414321,3.2745,7.53310464292276,1.17753171055638
Urban,4.5,8.5,13.563,14.5489376847625,2.5485,4.94195752032057,1.18525423518166
Urban,4.5,9,13.146,13.8620171471455,4.632,10.2403750728503,1.19302740590509
Urban,4.5,9.5,12.537,14.3616706080129,1.506,1.88643492723547,1.20085155487547
Urban,4.5,10,14.922,16.0475534087961,3.8085,9.27978740794931,1.20872701641989
Urban,4.5,10.5,14.496,15.3147815751279,3.1515,7.64984228528902,1.21665412705807
Urban,4.5,11,18.2685,15.1031004470024,2.4885,6.07095840616519,1.22463322551667
Urban,4.5,11.5,20.421,15.8787524570363,3.1995,7.7522371524191,1.23266465274381
Urban,4.5,12,15.2895,15.7723530154146,1.971,3.64014731143941,1.24074875192364
Urban,5,0,14.1285,15.7437661861605,1.86,4.64876547140886,1.06755201484304
Urban,5,0.5,13.5375,15.1590237573371,2.67,7.29390296125218,1.07455326725049
Urban,5,1,16.1655,14.4424295983772,1.59,1.76112353980321,1.08160043548649
Urban,5,1.5,13.2795,15.3255819295579,3.639,8.87158695510791,1.08869382067763
Urban,5,2,16.398,16.2227784869527,2.6295,5.52240956448896,1.09583372592536
Urban,5,2.5,16.197,16.0390742900466,2.2335,5.84046102195534,1.10302045631895
Urban,5,3,17.664,16.4106083161509,2.223,5.98455460978936,1.11025431894851
Urban,5,3.5,16.2075,16.5112409529424,1.2165,0.488479784638014,1.1175356229181
Urban,5,4,14.436,15.6673578187392,2.4105,5.81538049099988,1.124864679359
Urban,5,4.5,11.8935,14.3512815061007,2.3655,6.16560755981377,1.13224180144292
Urban,5,5,13.0395,14.5471515989508,3.1035,7.70400937559033,1.13966730439543
Urban,5,5.5,12.0615,12.1696995439409,3.807,8.75990407411834,1.14714150550943
Urban,5,6,20.073,16.631965964273,6.2655,12.8120298719124,1.15466472415871
Urban,5,6.5,15.2925,15.2420665630434,1.833,2.70646165571906,1.16223728181157
Urban,5,7,18.1035,17.2832679865793,3.582,8.39899629571952,1.16985950204457
Urban,5,7.5,13.6365,15.0828961196828,3.7905,9.72215265750947,1.17753171055638
Urban,5,8,15.018,14.6094584612371,2.139,3.52111401087085,1.18525423518166
Urban,5,8.5,14.202,14.555267508531,5.373,10.4427714477625,1.19302740590509
Urban,5,9,16.182,14.7815798567414,3.642,7.72547046318546,1.20085155487547
Urban,5,9.5,11.8305,14.6662394234695,2.106,4.82482832516836,1.20872701641989
Urban,5,10,13.269,12.7221740777788,3.054,6.25057213707804,1.21665412705807
Urban,5,10.5,16.452,15.8058685497585,1.9695,5.7277815851999,1.22463322551667
Urban,5,11,13.8,14.9208267675947,2.532,6.90350221678409,1.23266465274381
Urban,5,11.5,18.147,15.7703000372633,3.267,8.59482289592083,1.24074875192364
Urban,5,12,16.2,14.8622861976349,1.911,3.51795018006051,1.24888586849096
Urban,5.5,0,12.903,14.747037613275,1.923,4.10366262487251,1.07455326725049
Urban,5.5,0.5,16.9485,16.7674599907325,1.944,4.11943985195531,1.08160043548649
Urban,5.5,1,19.155,15.5986900941413,5.1015,9.94803386635382,1.08869382067763
Urban,5.5,1.5,13.3545,15.6221076425007,3.7485,9.06782466375773,1.09583372592536
Urban,5.5,2,15.6885,14.4197623480233,6.018,12.1920715287955,1.10302045631895
Urban,5.5,2.5,16.4235,15.8184989306308,3.6525,8.82980985592763,1.11025431894851
Urban,5.5,3,15.054,15.2082938905462,2.388,5.25798285214676,1.1175356229181
Urban,5.5,3.5,11.622,14.384453980827,2.286,3.85262354289454,1.124864679359
Urban,5.5,4,17.682,15.1616082018138,1.8495,2.17511136238481,1.13224180144292
Urban,5.5,4.5,14.7075,15.5729498355845,2.7945,5.73278988337605,1.13966730439543
Urban,5.5,5,13.9185,14.8945304044601,3.168,5.21523973659928,1.14714150550943
Urban,5.5,5.5,18.8655,15.9357646234077,3.117,7.18528726365373,1.15466472415871
Urban,5.5,6,20.0565,15.9597699030137,4.344,8.81013817677553,1.16223728181157
Urban,5.5,6.5,15.4485,15.9182304757656,4.065,8.8245916827549,1.16985950204457
Urban,5.5,7,16.5,15.5009241001685,3.087,7.72799912061093,1.17753171055638
Urban,5.5,7.5,14.004,15.5726534249587,1.6485,2.77768719863655,1.18525423518166
Urban,5.5,8,14.292,13.6956499499301,3.6585,8.50049159742889,1.19302740590509
Urban,5.5,8.5,13.1385,14.2185368822333,3.708,8.46625420148023,1.20085155487547
Urban,5.5,9,17.097,16.0300965660961,4.833,10.74709789968,1.20872701641989
Urban,5.5,9.5,14.415,14.054586548925,3.7635,8.68798021723703,1.21665412705807
Urban,5.5,10,13.6545,15.1619477791999,4.6995,9.81843264695833,1.22463322551667
Urban,5.5,10.5,14.277,13.4231037881007,2.088,3.6512097519947,1.23266465274381
Urban,5.5,11,13.821,15.0042548047178,2.7105,6.43683415419191,1.24074875192364
Urban,5.5,11.5,17.805,17.7557859210306,2.394,4.72704863265761,1.24888586849096
Urban,5.5,12,16.059,15.3888673649333,2.8425,6.57059631764026,1.25707635014603
Urban,6,0,16.2165,14.5840698055048,2.181,5.86815941313451,1.08160043548649
Urban,6,0.5,13.29,14.6221308017564,1.413,1.8670767285262,1.08869382067763
Urban,6,1,12.597,14.6251135003445,2.415,5.06283729035127,1.09583372592536
Urban,6,1.5,15.264,15.0436754966657,3.5505,8.34981285687877,1.10302045631895
Urban,6,2,16.194,15.3479877694579,2.3805,6.29148130330179,1.11025431894851
Urban,6,2.5,11.895,13.5147113720341,2.2575,5.98306762574899,1.1175356229181
Urban,6,3,14.583,15.1820646736569,3.156,8.10403584263887,1.124864679359
Urban,6,3.5,16.08,15.2364300615468,3.4215,8.6249120226214,1.13224180144292
Urban,6,4,17.859,17.1327133381298,2.64,5.92776027153045,1.13966730439543
Urban,6,4.5,14.901,14.032503231383,1.635,3.36616189723063,1.14714150550943
Urban,6,5,16.167,16.8084446706082,1.839,4.63440208150536,1.15466472415871
Urban,6,5.5,14.202,14.8687093026439,2.709,6.19664935794387,1.16223728181157
Urban,6,6,13.515,14.5523115142634,4.4325,9.7923677198737,1.16985950204457
Urban,6,6.5,14.268,13.4924431230438,4.3275,10.0883321293989,1.17753171055638
Urban,6,7,14.475,15.0910704777118,5.007,10.4936849814446,1.18525423518166
Urban,6,7.5,13.665,15.1624973711659,3.654,7.65408114428279,1.19302740590509
Urban,6,8,14.4045,15.4994385102381,2.142,4.45910396416873,1.20085155487547
Urban,6,8.5,13.2315,15.2555483466555,1.995,3.03045763365663,1.20872701641989
Urban,6,9,12.4845,13.7325565514501,2.538,4.98789667748903,1.21665412705807
Urban,6,9.5,12.9045,14.103471212971,1.788,3.27963428150277,1.22463322551667
Urban,6,10,14.6325,15.1782010459012,3.6645,9.26534866960698,1.23266465274381
